id,type,readonly,group,name
0,8,0,activeMarker,front
1,8,0,activeMarker,back
2,8,0,activeMarker,left
3,8,0,activeMarker,right
4,8,0,activeMarker,mode
5,8,0,activeMarker,poll
6,8,1,deck,bcActiveMarker
7,8,1,deck,bcAI
8,8,1,deck,bcBigQuad
9,8,1,deck,bcBuzzer
10,8,1,deck,bcFlow
11,8,1,deck,bcFlow2
12,8,1,deck,bcLedRing
13,8,1,deck,bcLighthouse4
14,8,1,deck,bcDWM1000
15,8,1,deck,bcLoco
16,8,1,deck,bcMultiranger
17,8,1,deck,bcOA
18,8,1,deck,bcUSD
19,8,1,deck,bcZRanger
20,8,1,deck,bcZRanger2
21,8,0,motion,disable
22,8,0,motion,adaptive
23,6,0,motion,flowStdFixed
24,8,0,ring,effect
25,10,1,ring,neffect
26,8,0,ring,solidRed
27,8,0,ring,solidGreen
28,8,0,ring,solidBlue
29,8,0,ring,headlightEnable
30,6,0,ring,emptyCharge
31,6,0,ring,fullCharge
32,10,0,ring,fadeColor
33,6,0,ring,fadeTime
34,8,0,system,highlight
35,8,0,system,storageStats
36,8,0,system,storageReformat
37,0,0,system,arm
38,8,0,system,taskDump
39,0,1,system,selftestPassed
40,8,0,system,assertInfo
41,8,0,system,testLogParam
42,8,0,system,doAssert
43,8,0,loco,mode
44,6,0,tdoa2,stddev
45,6,0,tdoa3,stddev
46,9,0,multiranger,filterMask
47,8,1,usd,canLog
48,8,0,usd,logging
49,8,0,led,bitmask
50,8,0,motorPowerSet,enable
51,9,0,motorPowerSet,m1
52,9,0,motorPowerSet,m2
53,9,0,motorPowerSet,m3
54,9,0,motorPowerSet,m4
55,6,0,pm,lowVoltage
56,6,0,pm,criticalLowVoltage
57,8,1,imu_sensors,BMP388
58,6,0,imu_sensors,imuPhi
59,6,0,imu_sensors,imuTheta
60,6,0,imu_sensors,imuPsi
61,8,1,imu_sensors,AK8963
62,8,1,imu_sensors,LPS25H
63,8,1,imu_tests,MPU6500
64,8,1,imu_tests,AK8963
65,8,1,imu_tests,LPS25H
66,6,0,imu_tests,imuPhi
67,6,0,imu_tests,imuTheta
68,6,0,imu_tests,imuPsi
69,8,0,syslink,probe
70,8,0,usec,reset
71,8,0,colAv,enable
72,6,0,colAv,ellipsoidX
73,6,0,colAv,ellipsoidY
74,6,0,colAv,ellipsoidZ
75,6,0,colAv,bboxMinX
76,6,0,colAv,bboxMinY
77,6,0,colAv,bboxMinZ
78,6,0,colAv,bboxMaxX
79,6,0,colAv,bboxMaxY
80,6,0,colAv,bboxMaxZ
81,6,0,colAv,horizon
82,6,0,colAv,maxSpeed
83,6,0,colAv,sidestepThrsh
84,2,0,colAv,maxPeerLocAge
85,6,0,colAv,vorTol
86,2,0,colAv,vorIters
87,8,0,commander,enHighLevel
88,6,0,cppm,rateRoll
89,6,0,cppm,ratePitch
90,6,0,cppm,angPitch
91,6,0,cppm,angRoll
